BehaviorSpace results (NetLogo 6.1.0),,,,,,,,,,,,,,,,,,,,,,,,,
ev_rum_shape.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2019 12:06:47:337 +0000,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,
[run number],density,fraction_blue,circle_blue,circle_orange,similar_wanted_ethnic,similar_wanted_value,num_alternative,e_sqr,v_sqr,v_crl,e_crl,[step],ticks,"mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity =   ""minority""    and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""minority""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""minority""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""minority""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]"
1,70,50,50,50,1,1,1,30,11,30,11,0,0,5.49187935,2.805104408,2.633410673,5.671706263,2.939524838,2.879049676,5.49452954,2.827133479,2.70678337,5.408388521,2.750551876,2.730684327
1,70,50,50,50,1,1,1,30,11,30,11,1,50,5.951276102,5.445475638,5.902552204,5.510822511,5.508658009,5.46969697,6.306345733,5.833698031,6.266958425,5.653421634,5.646799117,5.609271523
1,70,50,50,50,1,1,1,30,11,30,11,2,100,6.004640371,5.69837587,5.986078886,5.382289417,5.382289417,5.365010799,6.135667396,5.846827133,6.126914661,5.655629139,5.655629139,5.646799117
1,70,50,50,50,1,1,1,30,11,30,11,3,150,6.018561485,5.860788863,6,5.496760259,5.490280778,5.483801296,6.080962801,5.93654267,6.074398249,5.70419426,5.693156733,5.693156733
1,70,50,50,50,1,1,1,30,11,30,11,4,200,5.969837587,5.865429234,5.955916473,5.652267819,5.650107991,5.637149028,6.157549234,6.056892779,6.146608315,5.593818985,5.593818985,5.584988962
1,70,50,50,50,1,1,1,30,11,30,11,5,250,5.718604651,5.660465116,5.713953488,5.680345572,5.680345572,5.676025918,6.080962801,6.026258206,6.072210066,5.66004415,5.66004415,5.651214128
1,70,50,50,50,1,1,1,30,11,30,11,6,300,5.823665893,5.770301624,5.812064965,5.781857451,5.781857451,5.771058315,6.168490153,6.118161926,6.150984683,5.53200883,5.53200883,5.514348786
1,70,50,50,50,1,1,1,30,11,30,11,7,350,5.90487239,5.856148492,5.88863109,5.60475162,5.593952484,5.591792657,5.940919037,5.897155361,5.925601751,5.613686534,5.600441501,5.59602649
1,70,50,50,50,1,1,1,30,11,30,11,8,400,5.90487239,5.839907193,5.900232019,5.561555076,5.561555076,5.559395248,6.140043764,6.080962801,6.133479212,5.527593819,5.525386313,5.518763797
1,70,50,50,50,1,1,1,30,11,30,11,9,450,5.839907193,5.798143852,5.819025522,5.598272138,5.596112311,5.576673866,6.061269147,6.019693654,6.052516411,5.666666667,5.666666667,5.66004415
1,70,50,50,50,1,1,1,30,11,30,11,10,500,5.918793503,5.893271462,5.914153132,5.688984881,5.688984881,5.684665227,5.925601751,5.901531729,5.919037199,5.609271523,5.609271523,5.602649007
1,70,50,50,50,1,1,1,30,11,30,11,11,550,5.814385151,5.805104408,5.800464037,5.82937365,5.827213823,5.816414687,6.070021882,6.061269147,6.056892779,5.388520971,5.386313466,5.375275938
