"BehaviorSpace results (NetLogo 6.1.0)"
"ev_rum_shape.nlogo"
"experiment"
"11/01/2019 13:59:09:953 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","similar_wanted_ethnic","similar_wanted_value","num_alternative","e_sqr","v_sqr","v_crl","e_crl","[step]","ticks","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity =   ""minority""    and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""minority""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""minority""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""minority""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]"
"32","70","50","50","50","1","1","1","30","24","30","22","0","0","5.396514161220043","2.7734204793028323","2.8540305010893245","5.394495412844036","2.7958715596330275","2.75","5.476190476190476","2.7777777777777777","2.7800453514739227","5.392111368909513","2.730858468677494","2.6009280742459397"
"6","70","50","50","50","1","1","1","30","21","30","26","0","0","5.40251572327044","2.7672955974842766","2.7274633123689727","5.532374100719425","2.7817745803357314","2.6906474820143886","5.4520547945205475","2.7899543378995433","2.8607305936073057","5.489749430523918","2.6697038724373576","2.6970387243735763"
"40","70","50","50","50","1","1","1","30","24","30","30","0","0","5.555555555555555","2.8933333333333335","2.7288888888888887","5.5978260869565215","2.9565217391304346","2.8543478260869564","5.5995423340961095","2.8810068649885583","2.8237986270022883","5.495689655172414","2.855603448275862","2.8599137931034484"
"2","70","50","50","50","1","1","1","30","21","30","22","0","0","5.419068736141907","2.8048780487804876","2.713968957871397","5.429447852760736","2.8486707566462166","2.7075664621676894","5.50561797752809","2.606741573033708","2.8224719101123594","5.534351145038168","2.6055979643765905","2.7786259541984735"
"7","70","50","50","50","1","1","1","30","21","30","27","0","0","5.722222222222222","2.8044444444444445","2.7711111111111113","5.540772532188841","2.836909871244635","2.8776824034334765","5.596774193548387","2.771889400921659","2.7903225806451615","5.581589958158996","2.7635983263598325","2.8514644351464433"
"62","70","50","50","50","1","1","1","30","27","30","22","0","0","5.621315192743764","2.9750566893424035","2.693877551020408","5.610204081632653","2.8816326530612244","2.7612244897959184","5.596949891067538","2.8257080610021785","2.7058823529411766","5.597727272727273","2.797727272727273","2.8204545454545453"
"3","70","50","50","50","1","1","1","30","21","30","23","0","0","5.4543429844097995","2.8997772828507795","2.6503340757238307","5.6107660455486545","2.9151138716356106","2.9358178053830226","5.449275362318841","2.5990338164251208","2.57487922705314","5.5676274944567625","2.753880266075388","3.002217294900222"
"14","70","50","50","50","1","1","1","30","22","30","24","0","0","5.568848758465012","2.7471783295711063","2.765237020316027","5.5228310502283104","2.6780821917808217","2.7442922374429224","5.623913043478261","2.9608695652173913","2.858695652173913","5.590128755364807","2.8626609442060085","2.8068669527896994"
"41","70","50","50","50","1","1","1","30","25","30","21","0","0","5.5368663594470044","2.6129032258064515","2.76036866359447","5.57981220657277","2.6666666666666665","2.807511737089202","5.54122621564482","2.909090909090909","2.8372093023255816","5.422077922077922","2.683982683982684","2.601731601731602"
"48","70","50","50","50","1","1","1","30","25","30","28","0","0","5.514606741573034","2.752808988764045","2.8808988764044945","5.48068669527897","2.7060085836909873","2.6909871244635193","5.531182795698925","2.6129032258064515","2.774193548387097","5.584541062801932","2.7705314009661834","2.7971014492753623"
"23","70","50","50","50","1","1","1","30","23","30","23","0","0","5.583148558758315","2.8758314855875833","2.8625277161862526","5.633620689655173","2.9331896551724137","2.8275862068965516","5.6118143459915615","2.8776371308016877","2.845991561181435","5.662763466042154","2.9039812646370025","2.7681498829039812"
"5","70","50","50","50","1","1","1","30","21","30","25","0","0","5.695945945945946","2.7162162162162162","2.849099099099099","5.740576496674057","2.753880266075388","2.7738359201773837","5.763747454175153","2.9185336048879837","2.890020366598778","5.714902807775378","2.9654427645788335","2.8272138228941683"
"50","70","50","50","50","1","1","1","30","25","30","30","0","0","5.648401826484018","2.9406392694063928","2.808219178082192","5.606765327695561","2.8498942917547567","2.678646934460888","5.447698744769874","2.6715481171548117","2.7489539748953975","5.491764705882353","2.755294117647059","2.788235294117647"
"43","70","50","50","50","1","1","1","30","25","30","23","0","0","5.519274376417234","2.673469387755102","2.689342403628118","5.653679653679654","2.794372294372294","2.9134199134199132","5.603104212860311","2.7804878048780486","2.7006651884700665","5.613107822410148","2.858350951374207","2.883720930232558"
"12","70","50","50","50","1","1","1","30","22","30","22","0","0","5.616557734204793","2.810457516339869","2.840958605664488","5.559360730593608","2.73972602739726","2.835616438356164","5.54176072234763","2.8171557562076748","2.8081264108352144","5.568965517241379","2.7327586206896552","2.7844827586206895"
"20","70","50","50","50","1","1","1","30","22","30","30","0","0","5.710344827586207","2.8735632183908044","2.9034482758620688","5.647186147186147","2.670995670995671","2.878787878787879","5.608050847457627","2.8707627118644066","2.760593220338983","5.57563025210084","2.8088235294117645","2.8739495798319328"
"16","70","50","50","50","1","1","1","30","22","30","26","0","0","5.526195899772209","2.7790432801822322","2.6173120728929384","5.487288135593221","2.788135593220339","2.7860169491525424","5.422273781902552","2.62877030162413","2.6426914153132253","5.498896247240618","2.6821192052980134","2.849889624724062"
"15","70","50","50","50","1","1","1","30","22","30","25","0","0","5.468181818181818","2.5613636363636365","2.5295454545454548","5.573696145124717","2.7732426303854876","2.9070294784580497","5.565022421524664","2.9596412556053813","2.7286995515695067","5.621399176954733","2.8395061728395063","2.7777777777777777"
"4","70","50","50","50","1","1","1","30","21","30","24","0","0","5.553535353535353","2.890909090909091","2.8323232323232324","5.671171171171171","3.06981981981982","2.7477477477477477","5.503340757238307","2.6770601336302895","2.9354120267260577","5.563981042654029","2.7109004739336493","2.7156398104265405"
"45","70","50","50","50","1","1","1","30","25","30","25","0","0","5.529816513761468","2.7844036697247705","2.639908256880734","5.487341772151899","2.8945147679324896","2.9852320675105486","5.357320099255583","2.5707196029776673","2.627791563275434","5.46969696969697","2.6493506493506493","2.9285714285714284"
"47","70","50","50","50","1","1","1","30","25","30","27","0","0","5.5181818181818185","2.665909090909091","2.8136363636363635","5.482915717539863","2.744874715261959","2.6856492027334853","5.491416309012876","2.7167381974248928","2.7939914163090127","5.457777777777777","2.871111111111111","2.7488888888888887"
"8","70","50","50","50","1","1","1","30","21","30","28","0","0","5.605995717344753","2.69593147751606","3.0042826552462527","5.702830188679245","2.6297169811320753","2.856132075471698","5.581632653061225","2.8244897959183675","2.842857142857143","5.603070175438597","2.7280701754385963","2.642543859649123"
"36","70","50","50","50","1","1","1","30","24","30","26","0","0","5.574031890660592","2.8633257403189067","2.6970387243735763","5.546052631578948","2.7214912280701755","2.793859649122807","5.431192660550459","2.720183486238532","2.5825688073394497","5.593886462882096","2.7641921397379914","2.8646288209606987"
"9","70","50","50","50","1","1","1","30","21","30","29","0","0","5.474613686534217","2.69757174392936","2.759381898454746","5.54389721627409","2.7751605995717346","2.747323340471092","5.656652360515022","2.7939914163090127","2.9012875536480687","5.626190476190477","2.7285714285714286","2.75"
"49","70","50","50","50","1","1","1","30","25","30","29","0","0","5.434684684684685","2.608108108108108","2.8085585585585586","5.577981651376147","2.610091743119266","2.885321100917431","5.4468546637744035","2.707158351409978","2.75704989154013","5.509933774834437","2.671081677704194","2.7902869757174393"
"55","70","50","50","50","1","1","1","30","26","30","25","0","0","5.7756410256410255","2.8653846153846154","3.019230769230769","5.683856502242152","2.8228699551569507","2.890134529147982","5.678038379530917","2.8678038379530917","2.8464818763326227","5.691810344827586","2.8469827586206895","2.7349137931034484"
"44","70","50","50","50","1","1","1","30","25","30","24","0","0","5.710416666666666","2.875","2.925","5.628175519630485","2.7528868360277134","2.6836027713625867","5.72885032537961","2.9110629067245117","2.980477223427332","5.619957537154989","2.8450106157112525","2.798301486199575"
"30","70","50","50","50","1","1","1","30","23","30","30","0","0","5.575052854122622","2.8372093023255816","2.7505285412262155","5.698876404494382","2.912359550561798","2.752808988764045","5.5280172413793105","2.790948275862069","2.8383620689655173","5.711711711711712","2.8626126126126126","2.8445945945945947"
"26","70","50","50","50","1","1","1","30","23","30","26","0","0","5.675115207373272","2.8548387096774195","2.8410138248847927","5.4937759336099585","2.7614107883817427","2.703319502074689","5.605995717344753","2.7387580299785865","2.7944325481798713","5.548611111111111","2.7662037037037037","2.775462962962963"
"18","70","50","50","50","1","1","1","30","22","30","28","0","0","5.5480984340044746","2.8277404921700224","2.7539149888143175","5.722814498933902","2.79317697228145","2.8891257995735606","5.758314855875832","2.88470066518847","2.7694013303769403","5.6338329764453965","2.862955032119914","2.918629550321199"
"22","70","50","50","50","1","1","1","30","23","30","22","0","0","5.7784810126582276","2.761603375527426","3.067510548523207","5.677184466019417","2.7742718446601944","2.7864077669902914","5.621621621621622","2.8440748440748442","2.943866943866944","5.5741127348643005","2.8810020876826723","2.6889352818371606"
"28","70","50","50","50","1","1","1","30","23","30","28","0","0","5.685840707964601","2.836283185840708","2.8783185840707963","5.7325842696629215","2.844943820224719","2.878651685393258","5.6255506607929515","2.7863436123348015","2.76431718061674","5.585106382978723","2.853191489361702","2.823404255319149"
"39","70","50","50","50","1","1","1","30","24","30","29","0","0","5.728952772073922","2.975359342915811","2.9014373716632442","5.79535864978903","2.959915611814346","2.7531645569620253","5.639830508474576","2.6610169491525424","2.7987288135593222","5.696470588235294","2.6870588235294117","2.6941176470588237"
"17","70","50","50","50","1","1","1","30","22","30","27","0","0","5.451467268623025","2.6455981941309257","2.8826185101580135","5.431924882629108","2.6056338028169015","2.6103286384976525","5.497950819672131","2.819672131147541","2.8299180327868854","5.533333333333333","2.8190476190476192","2.585714285714286"
"33","70","50","50","50","1","1","1","30","24","30","23","0","0","5.6645435244161355","2.8259023354564756","2.8322717622080678","5.735099337748345","2.827814569536424","2.8432671081677703","5.726495726495727","2.9209401709401708","2.9188034188034186","5.798283261802575","2.9206008583690988","2.927038626609442"
"21","70","50","50","50","1","1","1","30","23","30","21","0","0","5.524553571428571","2.669642857142857","2.674107142857143","5.3724604966139955","2.7674943566591423","2.564334085778781","5.557017543859649","2.824561403508772","2.8728070175438596","5.502293577981652","2.779816513761468","2.6192660550458715"
"53","70","50","50","50","1","1","1","30","26","30","23","0","0","5.52183908045977","2.6413793103448278","2.6758620689655173","5.570469798657718","2.749440715883669","2.8903803131991053","5.591928251121076","2.8721973094170403","2.681614349775785","5.640495867768595","2.9524793388429753","2.87603305785124"
"61","70","50","50","50","1","1","1","30","27","30","21","0","0","5.501118568232662","2.8612975391498883","2.733780760626398","5.578389830508475","2.858050847457627","2.8495762711864407","5.537078651685393","2.7707865168539327","2.710112359550562","5.465437788018433","2.6244239631336406","2.684331797235023"
"58","70","50","50","50","1","1","1","30","26","30","28","0","0","5.479569892473118","2.817204301075269","2.763440860215054","5.5978260869565215","2.856521739130435","2.6695652173913045","5.630480167014614","2.8705636743215033","2.9582463465553235","5.658653846153846","2.829326923076923","2.7836538461538463"
"63","70","50","50","50","1","1","1","30","27","30","23","0","0","5.6521739130434785","2.919254658385093","2.6935817805383024","5.663157894736842","2.997894736842105","2.7536842105263157","5.625899280575539","2.5731414868105515","2.726618705035971","5.623059866962306","2.7117516629711753","2.838137472283814"
"54","70","50","50","50","1","1","1","30","26","30","24","0","0","5.556818181818182","2.675","2.6636363636363636","5.5177304964539005","2.602836879432624","2.7163120567375887","5.595652173913043","3.0304347826086957","2.8260869565217392","5.485887096774194","2.8225806451612905","2.7399193548387095"
"56","70","50","50","50","1","1","1","30","26","30","26","0","0","5.52723311546841","2.599128540305011","2.79520697167756","5.577181208053691","2.821029082774049","2.843400447427293","5.5358744394618835","2.594170403587444","2.786995515695067","5.578366445916115","2.7880794701986753","2.801324503311258"
"60","70","50","50","50","1","1","1","30","26","30","30","0","0","5.676855895196507","2.8100436681222707","2.7052401746724892","5.845833333333333","2.8354166666666667","2.93125","5.732739420935412","2.7238307349665924","2.6792873051224944","5.753715498938429","2.7664543524416136","2.9235668789808917"
"31","70","50","50","50","1","1","1","30","24","30","21","0","0","5.555084745762712","2.8728813559322033","2.8347457627118646","5.491266375545852","2.8602620087336246","2.609170305676856","5.522776572668112","2.698481561822126","2.8459869848156183","5.569711538461538","2.7596153846153846","2.6899038461538463"
"59","70","50","50","50","1","1","1","30","26","30","29","0","0","5.773584905660377","2.7631027253668763","3.018867924528302","5.631205673758865","2.75177304964539","2.7210401891252953","5.642710472279261","2.864476386036961","3.0143737166324436","5.7076271186440675","2.9512711864406778","2.819915254237288"
"10","70","50","50","50","1","1","1","30","21","30","30","0","0","5.626609442060086","2.755364806866953","2.8540772532188843","5.712984054669704","2.733485193621868","2.788154897494305","5.665263157894737","2.865263157894737","2.9305263157894736","5.680257510729613","2.856223175965665","2.875536480686695"
"27","70","50","50","50","1","1","1","30","23","30","27","0","0","5.490486257928119","2.6765327695560255","2.828752642706131","5.508393285371703","2.671462829736211","2.577937649880096","5.583157894736842","2.8589473684210525","2.917894736842105","5.56221198156682","2.751152073732719","2.5599078341013826"
"29","70","50","50","50","1","1","1","30","23","30","29","0","0","5.336575875486381","2.7412451361867705","2.6809338521400776","5.475961538461538","2.8533653846153846","2.5985576923076925","5.476997578692494","2.6537530266343827","2.983050847457627","5.403628117913832","2.54875283446712","2.687074829931973"
"51","70","50","50","50","1","1","1","30","26","30","21","0","0","5.7426778242677825","3.1046025104602513","2.924686192468619","5.656184486373165","2.9853249475890986","2.811320754716981","5.705494505494506","2.912087912087912","2.914285714285714","5.693512304250559","2.865771812080537","2.8747203579418343"
"24","70","50","50","50","1","1","1","30","23","30","24","0","0","5.573560767590618","2.7547974413646057","2.8251599147121533","5.643010752688172","2.8989247311827957","2.9204301075268817","5.710762331838565","2.798206278026906","3.0426008968609866","5.72967032967033","2.8747252747252747","3.063736263736264"
"13","70","50","50","50","1","1","1","30","22","30","23","0","0","5.745614035087719","2.844298245614035","2.8640350877192984","5.743801652892562","2.993801652892562","2.847107438016529","5.675456389452332","2.813387423935091","2.864097363083164","5.733644859813084","2.8294392523364484","2.7009345794392523"
"34","70","50","50","50","1","1","1","30","24","30","24","0","0","5.638655462184874","2.754201680672269","2.926470588235294","5.771689497716895","2.810502283105023","2.7625570776255706","5.720588235294118","2.7794117647058822","2.8592436974789917","5.609913793103448","2.872844827586207","2.7327586206896552"
"19","70","50","50","50","1","1","1","30","22","30","29","0","0","5.632743362831858","2.6924778761061945","2.856194690265487","5.741794310722101","2.833698030634573","2.9452954048140043","5.694560669456067","2.8661087866108788","2.8640167364016738","5.739316239316239","2.948717948717949","2.8974358974358974"
"42","70","50","50","50","1","1","1","30","25","30","22","0","0","5.634819532908705","2.842887473460722","2.774946921443737","5.5548245614035086","2.699561403508772","2.7697368421052633","5.691037735849057","2.7712264150943398","2.705188679245283","5.644171779141105","2.8241308793456033","2.8977505112474438"
"1","70","50","50","50","1","1","1","30","21","30","21","0","0","5.645977011494253","2.7195402298850575","2.7448275862068967","5.648106904231626","2.714922048997773","2.8775055679287305","5.541666666666667","2.789473684210526","2.6447368421052633","5.6680244399185336","2.94908350305499","2.9409368635437882"
"35","70","50","50","50","1","1","1","30","24","30","25","0","0","5.6342592592592595","2.875","2.6689814814814814","5.733333333333333","2.9075268817204303","2.92258064516129","5.542222222222223","2.8355555555555556","2.7088888888888887","5.445833333333334","2.7625","2.84375"
"11","70","50","50","50","1","1","1","30","22","30","21","0","0","5.681498829039812","2.901639344262295","2.882903981264637","5.594704684317719","2.7393075356415477","2.928716904276986","5.63019693654267","2.7833698030634575","2.8205689277899344","5.657777777777778","2.7955555555555556","3.057777777777778"
"46","70","50","50","50","1","1","1","30","25","30","26","0","0","5.673913043478261","2.717391304347826","2.707729468599034","5.530241935483871","2.7963709677419355","2.875","5.694623655913978","2.870967741935484","2.8537634408602153","5.599118942731278","2.8083700440528636","2.8854625550660793"
"64","70","50","50","50","1","1","1","30","27","30","24","0","0","5.558758314855876","2.8514412416851442","2.7361419068736144","5.53695652173913","2.8","2.7804347826086957","5.510158013544018","2.765237020316027","2.708803611738149","5.605726872246696","2.8215859030837005","2.8612334801762116"
"52","70","50","50","50","1","1","1","30","26","30","22","0","0","5.5863539445629","2.79317697228145","2.818763326226013","5.623024830699774","2.7765237020316027","2.704288939051919","5.593406593406593","2.7252747252747254","2.7384615384615385","5.618421052631579","2.8421052631578947","2.758771929824561"
"37","70","50","50","50","1","1","1","30","24","30","27","0","0","5.687763713080169","2.959915611814346","2.839662447257384","5.764112903225806","3.058467741935484","2.911290322580645","5.681818181818182","2.5954545454545452","2.8363636363636364","5.683098591549296","2.6854460093896715","2.896713615023474"
"38","70","50","50","50","1","1","1","30","24","30","28","0","0","5.439232409381663","2.716417910447761","2.720682302771855","5.406666666666666","2.8444444444444446","2.648888888888889","5.426966292134831","2.6337078651685393","2.7595505617977527","5.511904761904762","2.6857142857142855","2.604761904761905"
"57","70","50","50","50","1","1","1","30","26","30","27","0","0","5.527777777777778","2.724537037037037","2.7569444444444446","5.494553376906318","2.79520697167756","2.8583877995642704","5.596371882086168","2.820861678004535","2.7233560090702946","5.4655172413793105","2.8232758620689653","2.7629310344827585"
"25","70","50","50","50","1","1","1","30","23","30","25","0","0","5.63972286374134","2.623556581986143","2.725173210161663","5.58165548098434","2.756152125279642","2.9105145413870246","5.630434782608695","2.9391304347826086","2.8521739130434782","5.578838174273859","2.8174273858921164","2.7863070539419086"
"1","70","50","50","50","1","1","1","30","21","30","21","1","50","6.055172413793104","5.898850574712644","5.995402298850575","5.697104677060134","5.679287305122495","5.632516703786192","5.9868421052631575","5.831140350877193","5.907894736842105","6.0162932790224035","6.006109979633401","5.94908350305499"
"32","70","50","50","50","1","1","1","30","24","30","22","1","50","5.971677559912854","5.891067538126362","5.932461873638344","5.729357798165138","5.715596330275229","5.692660550458716","5.519274376417234","5.4399092970521545","5.476190476190476","5.700696055684455","5.682134570765661","5.651972157772621"
"56","70","50","50","50","1","1","1","30","26","30","26","1","50","5.769063180827887","5.660130718954249","5.705882352941177","5.96420581655481","5.9552572706935125","5.906040268456376","5.952914798206278","5.8475336322869955","5.881165919282512","5.710816777041942","5.695364238410596","5.63355408388521"
"14","70","50","50","50","1","1","1","30","22","30","24","1","50","5.767494356659142","5.702031602708804","5.720090293453724","5.783599088838269","5.7722095671981775","5.742596810933941","6.03695652173913","5.980434782608696","6.004347826086956","5.834763948497854","5.817596566523605","5.796137339055794"
"6","70","50","50","50","1","1","1","30","21","30","26","1","50","5.8742138364779874","5.79664570230608","5.828092243186583","5.503597122302159","5.503597122302159","5.458033573141487","5.703196347031963","5.6255707762557075","5.662100456621005","5.915909090909091","5.909090909090909","5.868181818181818"
"5","70","50","50","50","1","1","1","30","21","30","25","1","50","6.13063063063063","6.065315315315315","6.027027027027027","5.882743362831858","5.869469026548672","5.783185840707965","6.173116089613035","6.116089613034624","6.126272912423625","5.818574514038877","5.8034557235421165","5.766738660907127"
"48","70","50","50","50","1","1","1","30","25","30","28","1","50","5.7825112107623315","5.70627802690583","5.748878923766816","5.888412017167382","5.864806866952789","5.854077253218884","6.030107526881721","5.95483870967742","6.012903225806451","5.660240963855422","5.636144578313253","5.643373493975903"
