BehaviorSpace results (NetLogo 6.1.0),,,,,,,,,,,,,,,,,,,,,,,,,
ev_rum_shape.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2019 15:56:41:177 +0000,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,
[run number],density,fraction_blue,circle_blue,circle_orange,similar_wanted_ethnic,similar_wanted_value,num_alternative,e_sqr,v_sqr,v_crl,e_crl,[step],ticks,"mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity =   ""minority""    and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""minority""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""minority""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""minority""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]"
1,70,50,50,50,1,1,1,10,0,10,0,0,0,5.545454545,2.716942149,2.77892562,5.801762115,2.843612335,3.052863436,5.810185185,2.851851852,2.877314815,5.734151329,2.801635992,2.957055215
1,70,50,50,50,1,1,1,10,0,10,0,1,50,6.659090909,3.448347107,6.256198347,5.077092511,4.874449339,4.645374449,6.770833333,3.171296296,6.337962963,5.212678937,5.026584867,4.832310838
1,70,50,50,50,1,1,1,10,0,10,0,2,100,6.859504132,3.756198347,6.605371901,5.057268722,4.947136564,4.828193833,6.738425926,3.305555556,6.418981481,5.175869121,5.034764826,4.854805726
1,70,50,50,50,1,1,1,10,0,10,0,3,150,6.754132231,3.568181818,6.438016529,4.973509934,4.885209713,4.671081678,6.75462963,3.222222222,6.449074074,5.202453988,5.08793456,4.899795501
1,70,50,50,50,1,1,1,10,0,10,0,4,200,6.671487603,3.454545455,6.42768595,5.218061674,5.162995595,5.04185022,6.833333333,3.31712963,6.571759259,5.207392197,5.078028747,4.897330595
1,70,50,50,50,1,1,1,10,0,10,0,5,250,6.714876033,3.533057851,6.421487603,4.9030837,4.806167401,4.585903084,6.715277778,3.145833333,6.458333333,5.347648262,5.261758691,5.124744376
1,70,50,50,50,1,1,1,10,0,10,0,6,300,6.789256198,3.607438017,6.549586777,4.931718062,4.863436123,4.685022026,6.81712963,3.261574074,6.555555556,5.120654397,5.049079755,4.881390593
1,70,50,50,50,1,1,1,10,0,10,0,7,350,6.756198347,3.578512397,6.435950413,5.057268722,4.960352423,4.753303965,6.736111111,3.215277778,6.530092593,5.37704918,5.25204918,5.159836066
1,70,50,50,50,1,1,1,10,0,10,0,8,400,6.644628099,3.479338843,6.380165289,5.27092511,5.198237885,4.99339207,6.69212963,3.150462963,6.532407407,5.206543967,5.134969325,5.061349693
1,70,50,50,50,1,1,1,10,0,10,0,9,450,6.747933884,3.615702479,6.504132231,5.035242291,4.955947137,4.77753304,6.789351852,3.282407407,6.439814815,5.163599182,5.08793456,4.852760736
1,70,50,50,50,1,1,1,10,0,10,0,10,500,6.795454545,3.628099174,6.559917355,5.035242291,4.933920705,4.762114537,6.747685185,3.175925926,6.548611111,5.08793456,5.014314928,4.932515337
1,70,50,50,50,1,1,1,10,0,10,0,11,550,6.795454545,3.487603306,6.623966942,5.162995595,5.0969163,4.995594714,6.780092593,3.090277778,6.569444444,4.977505112,4.901840491,4.777096115
1,70,50,50,50,1,1,1,10,0,10,0,12,600,6.884297521,3.657024793,6.640495868,4.718061674,4.616740088,4.453744493,6.833333333,3.212962963,6.587962963,5.402862986,5.312883436,5.190184049
1,70,50,50,50,1,1,1,10,0,10,0,13,650,6.814049587,3.609504132,6.530991736,4.931718062,4.817180617,4.63215859,6.888888889,3.300925926,6.553240741,5.192229039,5.083844581,4.893660532
1,70,50,50,50,1,1,1,10,0,10,0,14,700,6.729338843,3.45661157,6.469008264,5.099118943,4.99339207,4.854625551,6.798611111,3.166666667,6.5625,5.155419223,5.026584867,4.916155419
1,70,50,50,50,1,1,1,10,0,10,0,15,750,6.743801653,3.524793388,6.487603306,4.960352423,4.850220264,4.671806167,6.696759259,3.074074074,6.453703704,5.243852459,5.155737705,5.043032787
1,70,50,50,50,1,1,1,10,0,10,0,16,800,6.894628099,3.642561983,6.675619835,4.918502203,4.834801762,4.702643172,6.803240741,3.178240741,6.479166667,5.110429448,5.016359918,4.807770961
