BehaviorSpace results (NetLogo 6.1.0),,,,,,,,,,,,,,,,,,,,,,,,,
ev_rum_shape.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2019 17:22:59:807 +0000,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,
[run number],density,fraction_blue,circle_blue,circle_orange,similar_wanted_ethnic,similar_wanted_value,num_alternative,e_sqr,v_sqr,v_crl,e_crl,[step],ticks,"mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity =   ""minority""    and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""minority""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""minority""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""minority""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]"
1,70,80,50,50,1,1,1,10,0,10,0,0,0,5.467902996,4.452211127,2.727532097,5.447902571,4.353179973,2.713125846,5.55,1.038888889,2.655555556,5.312883436,0.963190184,2.73006135
1,70,80,50,50,1,1,1,10,0,10,0,1,50,6.717546362,5.370898716,5.855920114,4.733062331,4.646341463,3.920054201,6.7,1.477777778,6.416666667,4.711656442,4.294478528,4.374233129
1,70,80,50,50,1,1,1,10,0,10,0,2,100,6.817403709,5.413694722,6.044222539,4.684709066,4.631935047,3.962110961,6.861111111,1.438888889,6.694444444,4.785276074,4.496932515,4.552147239
1,70,80,50,50,1,1,1,10,0,10,0,3,150,6.70042796,5.289586305,5.95149786,4.723951286,4.673883627,4.041948579,6.861111111,1.483333333,6.655555556,4.963190184,4.607361963,4.607361963
1,70,80,50,50,1,1,1,10,0,10,0,4,200,7.035663338,5.611982882,6.442225392,4.645861601,4.594301221,4.092265943,6.95,1.45,6.811111111,4.852760736,4.570552147,4.650306748
1,70,80,50,50,1,1,1,10,0,10,0,5,250,7.022824536,5.590584879,6.445078459,4.66395664,4.619241192,4.112466125,7.038888889,1.45,6.9,5.042944785,4.852760736,4.901840491
1,70,80,50,50,1,1,1,10,0,10,0,6,300,7.106990014,5.70042796,6.590584879,4.611940299,4.572591588,4.115332429,7.1,1.6,6.988888889,4.656441718,4.503067485,4.558282209
1,70,80,50,50,1,1,1,10,0,10,0,7,350,7.069900143,5.630527817,6.572039943,4.569688769,4.529093369,4.071718539,7.066666667,1.355555556,6.927777778,4.742331288,4.674846626,4.705521472
1,70,80,50,50,1,1,1,10,0,10,0,8,400,7.018544936,5.582025678,6.399429387,4.579945799,4.527100271,3.972899729,7.15,1.477777778,6.977777778,4.938650307,4.785276074,4.834355828
1,70,80,50,50,1,1,1,10,0,10,0,9,450,7.005706134,5.542082739,6.407988588,4.600811908,4.561569689,4.0202977,7.133333333,1.377777778,6.977777778,5.024539877,4.90797546,4.914110429
1,70,80,50,50,1,1,1,10,0,10,0,10,500,6.888730385,5.462196862,6.281027104,4.637347767,4.602165088,4.073071719,6.961111111,1.455555556,6.816666667,4.803680982,4.588957055,4.588957055
1,70,80,50,50,1,1,1,10,0,10,0,11,550,6.987161198,5.562054208,6.382310984,4.629228687,4.583220568,4.050067659,6.938888889,1.366666667,6.777777778,5.190184049,5.006134969,5.036809816
1,70,80,50,50,1,1,1,10,0,10,0,12,600,6.834522111,5.423680456,6.148359486,4.619241192,4.574525745,3.974254743,6.855555556,1.388888889,6.722222222,4.90797546,4.674846626,4.73006135
1,70,80,50,50,1,1,1,10,0,10,0,13,650,7.057061341,5.594864479,6.430813124,4.628222524,4.561736771,4.009497965,7.077777778,1.288888889,6.877777778,4.90797546,4.711656442,4.791411043
1,70,80,50,50,1,1,1,10,0,10,0,14,700,6.891583452,5.47788873,6.29957204,4.584573748,4.546684709,4.02165088,6.922222222,1.411111111,6.788888889,5.061349693,4.895705521,4.920245399
1,70,80,50,50,1,1,1,10,0,10,0,15,750,6.833095578,5.440798859,6.211126961,4.562922869,4.527740189,3.97834912,6.977777778,1.577777778,6.822222222,5.018404908,4.834355828,4.82208589
1,70,80,50,50,1,1,1,10,0,10,0,16,800,6.915834522,5.506419401,6.179743224,4.520325203,4.482384824,3.83197832,6.844444444,1.4,6.666666667,5.27607362,5.055214724,5.030674847
1,70,80,50,50,1,1,1,10,0,10,0,17,850,6.699001427,5.308131241,5.990014265,4.673441734,4.608401084,3.986449864,6.844444444,1.372222222,6.572222222,5.233128834,5,4.993865031
1,70,80,50,50,1,1,1,10,0,10,0,18,900,6.828815977,5.419400856,6.142653352,4.648173207,4.602165088,4.01623816,6.811111111,1.4,6.622222222,5.288343558,4.993865031,4.993865031
1,70,80,50,50,1,1,1,10,0,10,0,19,950,6.962910128,5.592011412,6.407988588,4.571815718,4.539295393,4.035230352,6.983333333,1.605555556,6.855555556,5.190184049,5.085889571,5.09202454
1,70,80,50,50,1,1,1,10,0,10,0,20,1000,7.017118402,5.600570613,6.435092725,4.554200542,4.528455285,4.020325203,6.922222222,1.483333333,6.772222222,5.320987654,5.117283951,5.067901235
1,70,80,50,50,1,1,1,10,0,10,0,21,1050,6.938659058,5.567760342,6.389443652,4.575101488,4.537212449,4.056833559,6.777777778,1.45,6.638888889,5.043209877,4.858024691,4.87654321
1,70,80,50,50,1,1,1,10,0,10,0,22,1100,6.931526391,5.503566334,6.336661912,4.63229308,4.591587517,4.096336499,6.94972067,1.480446927,6.782122905,5.18404908,4.865030675,4.865030675
1,70,80,50,50,1,1,1,10,0,10,0,23,1150,6.893009986,5.436519258,6.326676177,4.578018996,4.541383989,4.056987788,6.966666667,1.366666667,6.794444444,5.693251534,5.447852761,5.423312883
1,70,80,50,50,1,1,1,10,0,10,0,24,1200,6.97574893,5.57489301,6.420827389,4.643147897,4.616010855,4.124830393,6.944444444,1.527777778,6.827777778,5.104294479,4.938650307,4.932515337
1,70,80,50,50,1,1,1,10,0,10,0,25,1250,6.884450785,5.496433666,6.249643367,4.752717391,4.702445652,4.153532609,6.922222222,1.538888889,6.716666667,4.802469136,4.549382716,4.549382716
1,70,80,50,50,1,1,1,10,0,10,0,26,1300,7.025677603,5.596291013,6.442225392,4.598105548,4.564276049,4.031123139,7.122222222,1.5,6.988888889,4.705521472,4.613496933,4.619631902
1,70,80,50,50,1,1,1,10,0,10,0,27,1350,6.921540656,5.486447932,6.194008559,4.715447154,4.672086721,4.013550136,6.938888889,1.305555556,6.777777778,4.570552147,4.423312883,4.441717791
1,70,80,50,50,1,1,1,10,0,10,0,28,1400,6.853067047,5.446504993,6.195435093,4.641791045,4.602442334,4.004070556,6.922222222,1.394444444,6.75,4.754601227,4.63190184,4.619631902
1,70,80,50,50,1,1,1,10,0,10,0,29,1450,6.921540656,5.562054208,6.313837375,4.677943166,4.623815968,4.075778078,6.916666667,1.516666667,6.722222222,4.773006135,4.644171779,4.674846626
1,70,80,50,50,1,1,1,10,0,10,0,30,1500,6.87874465,5.495007133,6.12553495,4.710597826,4.652173913,3.967391304,6.844444444,1.35,6.611111111,5.122699387,4.975460123,4.981595092
1,70,80,50,50,1,1,1,10,0,10,0,31,1550,6.987161198,5.60342368,6.273894437,4.692828146,4.646820027,4.01082544,6.733333333,1.322222222,6.488888889,4.864197531,4.679012346,4.617283951
1,70,80,50,50,1,1,1,10,0,10,0,32,1600,6.890156919,5.519258203,6.184022825,4.707713126,4.650879567,4.01759134,6.811111111,1.388888889,6.638888889,5.306748466,5.141104294,5.208588957
1,70,80,50,50,1,1,1,10,0,10,0,33,1650,6.950071327,5.594864479,6.370898716,4.684281843,4.62601626,4.113821138,6.888888889,1.527777778,6.744444444,5.208588957,5.036809816,5.141104294
1,70,80,50,50,1,1,1,10,0,10,0,34,1700,6.793152639,5.407988588,6.225392297,4.611637348,4.577807848,4.082543978,6.754189944,1.368715084,6.592178771,5.306748466,5.110429448,5.085889571
1,70,80,50,50,1,1,1,10,0,10,0,35,1750,6.912981455,5.527817404,6.262482168,4.531799729,4.49120433,3.912043302,6.85,1.444444444,6.644444444,5.398773006,5.226993865,5.18404908
1,70,80,50,50,1,1,1,10,0,10,0,36,1800,6.867332382,5.490727532,6.238231098,4.672530447,4.629228687,4.066305819,6.866666667,1.466666667,6.661111111,5.282208589,5.128834356,5.098159509
1,70,80,50,50,1,1,1,10,0,10,0,37,1850,6.891583452,5.492154066,6.34807418,4.640054127,4.584573748,4.128552097,6.827777778,1.394444444,6.644444444,5.220858896,4.950920245,5
1,70,80,50,50,1,1,1,10,0,10,0,38,1900,6.841654779,5.436519258,6.238231098,4.583220568,4.556156969,4.01759134,7.077777778,1.633333333,6.927777778,4.865030675,4.711656442,4.668711656
1,70,80,50,50,1,1,1,10,0,10,0,39,1950,6.844507846,5.40085592,6.19828816,4.63451087,4.573369565,4.042119565,7.066666667,1.538888889,6.861111111,5.26993865,4.889570552,4.938650307
1,70,80,50,50,1,1,1,10,0,10,0,40,2000,6.710413695,5.406562054,6.037089872,4.693351425,4.645861601,4.055630936,6.711111111,1.644444444,6.533333333,5.539877301,5.312883436,5.331288344
2,70,80,50,50,1,1,1,10,0,10,1,0,0,5.610583446,4.557666214,2.748982361,5.540027137,4.506105834,2.712347354,5.650306748,1.042944785,2.920245399,5.596590909,1.125,2.926136364
2,70,80,50,50,1,1,1,10,0,10,1,1,50,6.89009498,5.69063772,6.03256445,4.869565217,4.809782609,4.036684783,6.852760736,1.54601227,6.552147239,4.982954545,4.625,4.596590909
2,70,80,50,50,1,1,1,10,0,10,1,2,100,6.936227951,5.781546811,6.275440977,4.807327001,4.750339213,4.160108548,6.840490798,1.680981595,6.619631902,5.227272727,4.931818182,4.965909091
2,70,80,50,50,1,1,1,10,0,10,1,3,150,6.94165536,5.746268657,6.1614654,4.875169607,4.823609227,4.119402985,6.742331288,1.447852761,6.484662577,4.816091954,4.494252874,4.471264368
2,70,80,50,50,1,1,1,10,0,10,1,4,200,6.951153324,5.713704206,6.157394844,4.832880435,4.797554348,4.096467391,6.90797546,1.576687117,6.72392638,4.931818182,4.539772727,4.517045455
2,70,80,50,50,1,1,1,10,0,10,1,5,250,7.005427408,5.803256445,6.176390773,4.799185889,4.747625509,3.976933514,6.920245399,1.515337423,6.699386503,5.022727273,4.778409091,4.789772727
2,70,80,50,50,1,1,1,10,0,10,1,6,300,6.97421981,5.788331072,6.272727273,4.745923913,4.701086957,4.032608696,6.944785276,1.533742331,6.766871166,4.8125,4.670454545,4.693181818
2,70,80,50,50,1,1,1,10,0,10,1,7,350,6.982360923,5.87109905,6.29036635,4.713704206,4.660786974,4.009497965,6.736196319,1.656441718,6.515337423,5.261363636,5.090909091,5.107954545
2,70,80,50,50,1,1,1,10,0,10,1,8,400,7.056987788,5.831750339,6.466757123,4.783673469,4.737414966,4.185034014,6.969325153,1.398773006,6.797546012,5.028409091,4.863636364,4.897727273
2,70,80,50,50,1,1,1,10,0,10,1,9,450,7.039348711,5.835820896,6.324287653,4.786684783,4.735054348,4.082880435,7.012269939,1.625766871,6.779141104,5.011363636,4.744318182,4.744318182
2,70,80,50,50,1,1,1,10,0,10,1,10,500,7.021709634,5.801899593,6.362279512,4.704206242,4.659430122,4.039348711,6.932515337,1.392638037,6.693251534,5.068181818,4.903409091,4.869318182
2,70,80,50,50,1,1,1,10,0,10,1,11,550,6.960651289,5.781546811,6.362279512,4.817438692,4.786103542,4.24386921,6.840490798,1.63190184,6.644171779,5.073863636,4.829545455,4.778409091
2,70,80,50,50,1,1,1,10,0,10,1,12,600,6.867028494,5.663500678,6.018995929,4.672998643,4.624151967,3.839891452,7.110429448,1.736196319,6.90797546,5.125,4.857954545,4.875
2,70,80,50,50,1,1,1,10,0,10,1,13,650,6.960651289,5.780189959,6.230664858,4.710597826,4.66576087,3.987771739,7.067484663,1.766871166,6.846625767,5.585227273,5.363636364,5.346590909
2,70,80,50,50,1,1,1,10,0,10,1,14,700,6.854816825,5.682496608,6.122116689,4.839673913,4.801630435,4.101902174,6.932515337,1.613496933,6.748466258,5.102272727,4.960227273,4.948863636
2,70,80,50,50,1,1,1,10,0,10,1,15,750,6.826322931,5.666214383,6.033921303,4.691576087,4.652173913,3.914402174,6.803680982,1.63190184,6.607361963,5.505681818,5.272727273,5.255681818
2,70,80,50,50,1,1,1,10,0,10,1,16,800,6.911804613,5.76119403,6.225237449,4.755434783,4.725543478,4.069293478,6.785276074,1.588957055,6.650306748,5.147727273,5.017045455,5.017045455
2,70,80,50,50,1,1,1,10,0,10,1,17,850,6.937584803,5.818181818,6.100407056,4.721845319,4.670284939,3.887381275,6.72392638,1.674846626,6.515337423,5.471590909,5.244318182,5.267045455
2,70,80,50,50,1,1,1,10,0,10,1,18,900,6.842605156,5.656716418,6.092265943,4.805970149,4.76119403,4.073270014,6.803680982,1.521472393,6.564417178,5.051428571,4.788571429,4.754285714
2,70,80,50,50,1,1,1,10,0,10,1,19,950,6.909090909,5.705563094,6.251017639,4.659430122,4.628222524,4.021709634,6.834355828,1.484662577,6.63190184,5.534090909,5.318181818,5.261363636
2,70,80,50,50,1,1,1,10,0,10,1,20,1000,6.848032564,5.637720488,6.123473541,4.68707483,4.654421769,3.972789116,6.901840491,1.484662577,6.73006135,5.244318182,5.056818182,5.034090909
