"BehaviorSpace results (NetLogo 6.1.0)"
"rum_eth-val.nlogo"
"experiment1"
"11/11/2019 11:38:12:166 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num_alternative","density","similar_wanted_ethnic","beta-ie","similar_wanted_value","beta-iv","circle_blue","fraction_blue","circle_orange","[step]","ticks","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself] / count (turtles-on neighbors)] of turtles with [count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors)] of turtles with [count (turtles-on neighbors) >= 1]"
"2","1","70","1","0","1","1","50","50","50","0","0","0.4921972826228146","0.49804769698386603"
"1","1","70","1","0","1","0","50","50","50","0","0","0.5042642572772871","0.5073425624321394"
"4","1","70","1","0","1","3","50","50","50","0","0","0.5060932539682537","0.5070099206349203"
"8","1","70","1","0","1","7","50","50","50","0","0","0.49282081224860524","0.48883223043986085"
"3","1","70","1","0","1","2","50","50","50","0","0","0.5069582171263298","0.5004080157008564"
"5","1","70","1","0","1","4","50","50","50","0","0","0.5124263160592548","0.5156562355835761"
"7","1","70","1","0","1","6","50","50","50","0","0","0.49913649928636306","0.49634358375502785"
"6","1","70","1","0","1","5","50","50","50","0","0","0.4922431700454895","0.5012055954353034"
"13","1","70","1","0","1","12","50","50","50","0","0","0.49756593100151403","0.503753352986482"
"9","1","70","1","0","1","8","50","50","50","0","0","0.5000131981839303","0.5003061978671731"
"10","1","70","1","0","1","9","50","50","50","0","0","0.49579741952646966","0.502847831870178"
"12","1","70","1","0","1","11","50","50","50","0","0","0.4975728155339813","0.5023796681563675"
"14","1","70","1","0","1","13","50","50","50","0","0","0.5015116641959895","0.5119106135081017"
"15","1","70","1","0","1","14","50","50","50","0","0","0.49446242358863773","0.49559189911131707"
"11","1","70","1","0","1","10","50","50","50","0","0","0.5029569076701312","0.5017259691980884"
"16","1","70","1","0","1","15","50","50","50","0","0","0.498727354000684","0.4932522152980469"
