"BehaviorSpace results (NetLogo 6.1.1)"
"rum_eth.nlogo"
"experiment"
"11/09/2019 17:53:07:742 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num_alternative","density","similar_wanted_ethnic","beta-ie","similar_wanted_value","circle_blue","fraction_blue","circle_orange","[step]","ticks","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself] / count (turtles-on neighbors) ] of turtles with [count (turtles-on neighbors) >= 1]"
"21","1","70","1","20","1","50","50","50","0","0","0.5033346344002081"
"59","1","70","1","58","1","50","50","50","0","0","0.4876020685900928"
"7","1","70","1","6","1","50","50","50","0","0","0.49133988227807907"
"2","1","70","1","1","1","50","50","50","0","0","0.5070393080484045"
"35","1","70","1","34","1","50","50","50","0","0","0.5089298739189316"
"57","1","70","1","56","1","50","50","50","0","0","0.4995947878595263"
"50","1","70","1","49","1","50","50","50","0","0","0.5032107588703454"
"29","1","70","1","28","1","50","50","50","0","0","0.5018447434375415"
"26","1","70","1","25","1","50","50","50","0","0","0.49304487179487194"
"45","1","70","1","44","1","50","50","50","0","0","0.5060460880582828"
"20","1","70","1","19","1","50","50","50","0","0","0.48991162115816006"
"49","1","70","1","48","1","50","50","50","0","0","0.5060933322745437"
"9","1","70","1","8","1","50","50","50","0","0","0.5051171004216694"
"23","1","70","1","22","1","50","50","50","0","0","0.5022065764631841"
"22","1","70","1","21","1","50","50","50","0","0","0.4883810814298622"
"43","1","70","1","42","1","50","50","50","0","0","0.4946127553794768"
"27","1","70","1","26","1","50","50","50","0","0","0.4979456384323635"
"56","1","70","1","55","1","50","50","50","0","0","0.5101868270243876"
"38","1","70","1","37","1","50","50","50","0","0","0.4862173766845142"
"30","1","70","1","29","1","50","50","50","0","0","0.50812705310261"
"11","1","70","1","10","1","50","50","50","0","0","0.5010404594504113"
"32","1","70","1","31","1","50","50","50","0","0","0.508723804264941"
"14","1","70","1","13","1","50","50","50","0","0","0.5070462084998557"
"58","1","70","1","57","1","50","50","50","0","0","0.5033983752579472"
"52","1","70","1","51","1","50","50","50","0","0","0.5038161628784924"
"6","1","70","1","5","1","50","50","50","0","0","0.505634180126496"
"12","1","70","1","11","1","50","50","50","0","0","0.49336904103091106"
"51","1","70","1","50","1","50","50","50","0","0","0.48114380113278815"
"64","1","70","1","63","1","50","50","50","0","0","0.5018971154353218"
"61","1","70","1","60","1","50","50","50","0","0","0.4949439542093971"
"28","1","70","1","27","1","50","50","50","0","0","0.492755102040817"
"47","1","70","1","46","1","50","50","50","0","0","0.5071222744535623"
"3","1","70","1","2","1","50","50","50","0","0","0.5118202348690147"
"53","1","70","1","52","1","50","50","50","0","0","0.5110861876154061"
"16","1","70","1","15","1","50","50","50","0","0","0.5138612493090104"
"48","1","70","1","47","1","50","50","50","0","0","0.5054685227783514"
"44","1","70","1","43","1","50","50","50","0","0","0.49099817865061723"
"19","1","70","1","18","1","50","50","50","0","0","0.49056720749241495"
"17","1","70","1","16","1","50","50","50","0","0","0.4920793044291952"
"63","1","70","1","62","1","50","50","50","0","0","0.49744675040961256"
"40","1","70","1","39","1","50","50","50","0","0","0.5131870163484136"
"5","1","70","1","4","1","50","50","50","0","0","0.5026692262855117"
"41","1","70","1","40","1","50","50","50","0","0","0.49974649705014806"
"4","1","70","1","3","1","50","50","50","0","0","0.4965510241500337"
"31","1","70","1","30","1","50","50","50","0","0","0.49984334136047015"
"33","1","70","1","32","1","50","50","50","0","0","0.4977120948157535"
"18","1","70","1","17","1","50","50","50","0","0","0.5025530538302272"
"39","1","70","1","38","1","50","50","50","0","0","0.5056318177050555"
"54","1","70","1","53","1","50","50","50","0","0","0.48889108129439696"
"42","1","70","1","41","1","50","50","50","0","0","0.502874950534231"
"10","1","70","1","9","1","50","50","50","0","0","0.5080502875796666"
"25","1","70","1","24","1","50","50","50","0","0","0.5115726576187863"
"8","1","70","1","7","1","50","50","50","0","0","0.5024931991654117"
"1","1","70","1","0","1","50","50","50","0","0","0.5074134797724401"
"37","1","70","1","36","1","50","50","50","0","0","0.5028212921829952"
"46","1","70","1","45","1","50","50","50","0","0","0.49931411817063187"
"13","1","70","1","12","1","50","50","50","0","0","0.49126523467319444"
"55","1","70","1","54","1","50","50","50","0","0","0.49669076751946717"
"60","1","70","1","59","1","50","50","50","0","0","0.501360544217687"
